,CODE,Name.x,Abbreviation.x,Category.x,Notes,article_1,article_2,article_3,article_4,article_5,article_6,article_7,article_8,article_9,article_10,article_11,article_12,article_13,article_14,article_15,article_16,article_17,article_18,article_19,article_20,article_21,article_22,article_23,article_24,article_25,article_26,article_27,article_28,article_29,article_30,article_31,article_32,article_33,article_34,article_35,article_36,article_37,article_38,article_39,article_40,article_41,article_42,article_43,article_44,article_45,article_46,article_47,article_48,article_49,article_50,article_51,article_52,article_53,article_54,article_55,article_56,article_57,article_58,article_59,article_60,article_61,article_62,article_63,Name.y,Abbreviation.y,Category.y,Items,Accessibility,access_type,link,review,exclusion_reason,relevant,Report,name.z,category,construct,rating,norms,internal_cons,test_retest,validity,ts
125,BENZODIAZEPINE WITHDRAWAL SYMPTOM QUESTIONNAIRE,Benzodiazepine Withdrawal Symptom Questionnaire,BWSQ2,Benzodiazepine,NA,606,807,609,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Benzodiazepine Withdrawal Symptom Questionnaire,BWSQ2,Benzodiazepine,20,Yes,Needs formatting,https://pdf.sciencedirectassets.com/271035/1-s2.0-S0165032700X01279/1-s2.0-016503279090009W/main.pdf?X-Amz-Security-Token=IQoJb3JpZ2luX2VjEEYaCXVzLWVhc3QtMSJHMEUCIQDJZgzVDVx1CPll%2FumIEhoKJQfiOMCtspVb0LPkw6A%2BzwIgXsYzK5eDSmXd9Kq2gmPqBHuCbrqxlTrX0seBvXL%2BVhIqgwQIj%2F%2F%2F%2F%2F%2F%2F%2F%2F%2F%2FARAEGgwwNTkwMDM1NDY4NjUiDOCF6r1%2B%2BqAhNL6nSCrXAy5ZEyIfRzgi4DX183vDWX%2FvjWjVyy5yNjMWINaUbmkrGSJtvB7svlPNxPG92j1EyGU0PnJOTZdb%2BqU1ijwJAy%2FkFOfUN19yvTurXHXeaIaNd5tf%2BrnOiBFHBPmwxrlZ%2B4TG%2FaxLCDSaTJqpmAf6ZsvttZW0nW1qZ5v7mo2GTzWizzyQQ6%2FadZNR4x1%2FjsFCvYV9nWnaqU1Poc8w2fBo2S10uhA2QkupGEKnOo4nnVKHDWuKfJMzQDTsGyIhXKcuHqlzj%2BvWxbUgIAr4KiDUJM%2BWEjCxgx%2FXmfa9zjd1P9BDKlh3nhe5QeDo16T83ETceDpvfpiMq7%2BLAyG3JxERycpCwowe%2BiFEm8u0yYg7KmpEvIk6C5C0oOrbfFD6KBqcBoYfIsgCS74PJ%2BFGNu2DWQnoz7KjTwdudFpNTB5kZ3D0kdT3h3bW9VdHQBY%2FG6tX6EBE%2FwOJffzVstfQf4cyu786F8jEHmsoLQ2JF7QrzSbJM%2B2ai%2FStYLA0kejaDNHerXuBv3GV3D01vlihlmxa%2B0%2BZ3V%2F%2FcLBLw1hO%2Bs07LFg1%2Bg1mXvUPo8DonhGyfll6eDgkB6WTJCqsxE72PFyQMpFiwksgWR4QxMR7mKTgZJQxGt2b%2FDZ65DCf2t2JBjqlAavokqhimbu2mR84lilXS%2BIc7naNSADGgbDNJmEK3npiYe7XlVFQUkFHKuOWR7OpJUNWIOLgDOYPoEtDpCYh55p%2BaV5LkgRTXaSq8flY2rQtyCQO5txny0NaHFdzBzaQqIAWSDEeOl0D%2FYU7ZnamwEbvpN58XSGe5SNrq5KwHvnVHS8PV4hy8aeGtuSG7C55sSaI%2FQE2L9r%2BcoHoDKeaYXnBToEwmQ%3D%3D&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Date=20210907T144233Z&X-Amz-SignedHeaders=host&X-Amz-Expires=300&X-Amz-Credential=ASIAQ3PHCVTYRMUDRY44%2F20210907%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Signature=a9fcc1544c5996d6060882a9eaaf23bf139e33836dcc9bce390d1b00d8b268a4&hash=ca4f930f6b9eb4971937d1302d68fddbafa4b751a941738d4ada14b3b321327f&host=68042c943591013ac2b2430a89b270f6af2c76d8dfd086a07176afe7c76c2c61&pii=016503279090009W&tid=spdf-759469ea-372f-4565-a90e-c7892385bc96&sid=605784648e8131417e195c23e22f4ba1857fgxrqa&type=client,Include,NA,1,"Tyrer et al., 1990",Benzodiazepine Withdrawal Symptom Questionnaire,Benzodiazepine,Withdrawal,Adequate,Excellent,Adequate,Excellent,"DISCRIM, PREDICT",X
126,CLINICAL INSTITUTE WITHDRAWAL ASSESSMENT - BENZODIAZEPINES,Clinical Institute Withdrawal Assessment - Benzodiazepines,CIWA-B,Benzodiazepine,NA,800,269,538,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Clinical Institute Withdrawal Assessment - Benzodiazepines,CIWA-B,Benzodiazepine,22,Yes,Print-ready,https://www.smartcjs.org.uk/wp-content/uploads/2015/07/CIWA-B.pdf,Exclude,Insufficient psychometric data,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
127,OPIOID AND BENZODIAZEPINE WITHDRAWAL SCALE,Opioid and Benzodiazepine Withdrawal Scale,OBWS,Benzodiazepine,NA,816,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Opioid and Benzodiazepine Withdrawal Scale,OBWS,Benzodiazepine,19,No, , ,Exclude,Not found,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
128,ANTICIPATED EFFECTS OF CANNABIS SCALE,Anticipated Effects of Cannabis Scale,AECS,Cannabanoid,NA,312,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Anticipated Effects of Cannabis Scale,AECS,Cannabanoid,17,Yes,Needs formatting,https://psycnet.apa.org/fulltext/2020-81604-001.pdf,Exclude,No scoring/instructions/interpretation,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
129,CANNABIS ABUSE SCREENING TEST,Cannabis Abuse Screening Test,CAST,Cannabanoid,NA,256,292,301,449,524,216,547,128,482,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cannabis Abuse Screening Test,CAST,Cannabanoid,6,No,Print-ready,https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=&ved=2ahUKEwij2v7xlZz5AhX7lIkEHS8gDW0QFnoECAMQAQ&url=https%3A%2F%2Fkannabishanke.fi%2Fwp-content%2Fuploads%2F2020%2F11%2FKannabishanke_Cast_ENG_MV.pdf&usg=AOvVaw2ebc1HZKJIYJfPXq83Jj89,Exclude,Insufficient psychometric data,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
130,CANNABIS PROBLEMS QUESTIONNAIRE,Cannabis Problems Questionnaire,CPQ,Cannabanoid,NA,398,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cannabis Problems Questionnaire,CPQ,Cannabanoid,22,Yes,Print-ready,https://cannabissupport.com.au/wp-content/uploads/2021/02/cannabis-problems-questionnaire.pdf,Include,NA,1,"Copeland et al., 2005",Cannabis Problems Questionnaire,Cannabanoid,Consequences,Adequate,Good,Adequate,Adequate,"CONCUR, CONVERG, DIVERG",NA
131,CANNABIS PROBLEMS QUESTIONNAIRE FOR ADOLESCENTS - SHORT FORM,Cannabis Problems Questionnaire for Adolescents - Short Form,CPQ-A-S,Cannabanoid,NA,301,571,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cannabis Problems Questionnaire for Adolescents - Short Form,CPQ-A-S,Cannabanoid,12,No,Needs formatting,https://www.sciencedirect.com/science/article/pii/S0306460310000912?via%3Dihub,Exclude,No scoring/instructions/interpretation,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
132,CANNABIS USE DISORDER IDENTIFICATION TEST,Cannabis Use Disorder Identification Test,CUDIT,Cannabanoid,NA,449,497,536,399,547,482,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cannabis Use Disorder Identification Test,CUDIT,Cannabanoid,10,Yes,Print-ready,https://adai.uw.edu/instruments/pdf/Cannabis_Use_Disorders_Identification_Test_59.pdf,Exclude,Measure was replaced with new version,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
133,CANNABIS USE DISORDER IDENTIFICATION TEST - REVISED,Cannabis Use Disorders Identification Test - Revised,CUDIT-R,Cannabanoid,NA,324,530,360,128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cannabis Use Disorders Identification Test - Revised,CUDIT-R,Cannabanoid,8,Yes,Print-ready,https://bpac.org.nz/BPJ/2010/June/docs/addiction_CUDIT-R.pdf,Include,NA,1,"Adamson et al., 2010",Cannabis Use Disorder Identification Test – Revised,Cannabanoid,Use,Good,Good,Excellent,Good,"CONVERG, DIVERG, DISCRIM, PREDICT",Not applicable
134,CANNABIS USE MOTIVES LIST,Cannabis Use Motives List,CANUM,Cannabanoid,NA,239,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cannabis Use Motives List,CANUM,Cannabanoid,20,No, , ,Exclude,Not found,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
135,CANNABIS USE PROBLEMS IDENTIFICATION TEST,Cannabis Use Problems Identification Test,CUPIT,Cannabanoid,NA,344,398,482,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cannabis Use Problems Identification Test,CUPIT,Cannabanoid,16,Yes,Print-ready,https://www.massey.ac.nz/massey/fms/Colleges/College%20of%20Humanities%20and%20Social%20Sciences/Psychology/Research/cupit/CUPIT_print-version.pdf?34719A4A1189BE5451B67AB1B43B9B0C,Include,NA,1,"Bashford et al., 2010",Cannabis Use Problems Identification Test,Cannabanoid,Use,Good,Good,Good,Good,"CONVERG, DIVERG, DISCRIM, PREDICT",Not applicable
136,CANNABIS WITHDRAWAL SCALE,Cannabis Withdrawal Scale,CWS,Cannabanoid,NA,495,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cannabis Withdrawal Scale,CWS,Cannabanoid,19,Yes,Print-ready,https://insight.qld.edu.au/shop/cannabis-withdrawal-scale-cws-insight-2019,Include,NA,1,"Allsop et al., 2011",Cannabis Withdrawal Scale,Cannabanoid,Withdrawal,Good,Good,Good,Excellent,"CONCUR, PREDICT",X
137,"DAILY SESSIONS, FREQUENCY, AGE OF ONSET, AND QUANTITY OF CANNABIS USE INVENTORY","Daily Sessions, Frequency, Age of Onset, and Quantity of Cannabis Use Inventory",DFAQ-CU,Cannabanoid,NA,370,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Daily Sessions, Frequency, Age of Onset, and Quantity of Cannabis Use Inventory",DFAQ-CU,Cannabanoid,41,Yes,Print-ready,https://app.dimensions.ai/details/publication/pub.1085605764,Exclude,Too many items,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
138,MARIJUANA ADOLESCENT PROBLEM INVENTORY,Marijuana Adolescent Problem Inventory,MAPI,Cannabanoid,NA,357,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Marijuana Adolescent Problem Inventory,MAPI,Cannabanoid,23,No, , ,Exclude,Not found,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
139,MARIJUANA CESSATION EXPECTANCIES QUESTIONNAIRE,Marijuana Cessation Expectancies Questionnaire,MCEQ,Cannabanoid,NA,368,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Marijuana Cessation Expectancies Questionnaire,MCEQ,Cannabanoid,46,Unknown,NA,NA,Exclude,Too many items,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
140,MARIJUANA CONSEQUENCES QUESTIONNAIRE,Marijuana Consequences Questionnaire,MACQ,Cannabanoid,NA,312,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Marijuana Consequences Questionnaire,MACQ,Cannabanoid,48,Unknown,NA,NA,Exclude,Too many items,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
141,MARIJUANA CRAVING QUESTIONNAIRE,Marijuana Craving Questionnaire,MCQ,Cannabanoid,NA,368,444,815,294,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Marijuana Craving Questionnaire,MCQ,Cannabanoid,10,Yes,Print-ready,https://osf.io/v8y34/,Exclude,No scoring/instructions/interpretation,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
142,MARIJUANA EFFECT EXPECTANCIES QUESTIONNAIRE,Marijuana Effect Expectancies Questionnaire,MEEQ,Cannabanoid,NA,488,498,408,780,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Marijuana Effect Expectancies Questionnaire,MEEQ,Cannabanoid,48,Unknown,NA,NA,Exclude,Too many items,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
143,MARIJUANA EFFECT EXPECTANCIES QUESTIONNAIRE - VALUATIONS SCALE,Marijuana Effect Expectancies Questionnaire - Valuations Scale,MEEQ-V,Cannabanoid,NA,488,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Marijuana Effect Expectancies Questionnaire - Valuations Scale,MEEQ-V,Cannabanoid,48,Unknown,NA,NA,Exclude,Too many items,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
144,MARIJUANA MOTIVES MEASURE,Marijuana Motives Measure,MMM,Cannabanoid,NA,488,360,353,33,242,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Marijuana Motives Measure,MMM,Cannabanoid,25,Yes,Print-ready,https://www.phenxtoolkit.org/toolkit_content/archive/520000/520503_Protocol.docx,Include,NA,1,"Simons et al., 1998",Marijuana Motives Measure,Cannabanoid,Motives,Good,Good,Excellent,NA,"CONCUR, CONVERG",X
145,MARIJUANA MOTIVES QUESTIONNAIRE,Marijuana Motives Questionnaire,MMQ,Cannabanoid,NA,305,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Marijuana Motives Questionnaire,MMQ,Cannabanoid,25,No,Print-ready,https://arc.psych.wisc.edu/self-report/marijuana-motives-questionnaire-mmq/,Exclude,Measure was replaced with new version,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
146,MARIJUANA PROBLEMS SCALE,Marijuana Problems Scale,MPS,Cannabanoid,NA,488,315,549,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Marijuana Problems Scale,MPS,Cannabanoid,19,Yes,Print-ready,https://adai.uw.edu/mcacp/docs/marijuanaproblemscale.pdf,Include,NA,1,"Stephens et al., 2000",Marijuana Problems Scale,Cannabanoid,Consequences,Good,Good,Good,NA,"CONVERG, DIVERG",X
147,MARIJUANA PROBLEMS SCALE - LIFETIME VERSION,Marijuana Problems Scale - Lifetime version,MPS-L,Cannabanoid,NA,353,436,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Marijuana Problems Scale - Lifetime version,MPS-L,Cannabanoid,19,No, , ,Exclude,Not found,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
148,MARIJUANA SCREENING INVENTORY,Marijuana Screening Inventory,MSI-X,Cannabanoid,NA,434,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Marijuana Screening Inventory,MSI-X,Cannabanoid,31,Unknown,NA,NA,Exclude,Too many items,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
149,MARIJUANA-REDUCTION STRATEGIES-RECENT PAST USE,Marijuana-Reduction Strategies-Recent Past Use,MJ-RS-PAST,Cannabanoid,NA,280,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Marijuana-Reduction Strategies-Recent Past Use,MJ-RS-PAST,Cannabanoid,21,No, , ,Exclude,Not found,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
150,MARIJUANA-REDUCTION STRATEGIES-SELF-EFFICACY SCALE,Marijuana-Reduction Strategies-Self-Efficacy Scale,MJ-RS-SES,Cannabanoid,NA,280,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Marijuana-Reduction Strategies-Self-Efficacy Scale,MJ-RS-SES,Cannabanoid,21,No, , ,Exclude,Not found,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
151,OBSESSIVE COMPULSIVE DRUG USE SCALE FOR CANNABIS,Obsessive Compulsive Drug Use Scale for cannabis,OCDUS-CAN,Cannabanoid,NA,297,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Obsessive Compulsive Drug Use Scale for cannabis,OCDUS-CAN,Cannabanoid,12,Yes,Needs formatting,https://onlinelibrary.wiley.com/doi/epdf/10.1002/mpr.1362,Exclude,No scoring/instructions/interpretation,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
152,PROBLEMATIC USE OF MARIJUANA,Problematic Use of Marijuana,PUM,Cannabanoid,NA,449,547,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Problematic Use of Marijuana,PUM,Cannabanoid,8,No, , ,Exclude,Not found,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
153,PROTECTIVE BEHAVIORAL STRATEGIES FOR MARIJUANA SCALE,Protective Behavioral Strategies for Marijuana scale,PBSM,Cannabanoid,NA,268,300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Protective Behavioral Strategies for Marijuana scale,PBSM,Cannabanoid,50,Unknown,NA,NA,Exclude,Too many items,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
154,REASONS FOR QUITTING QUESTIONNAIRE,Reasons for Quitting Questionnaire,RQQ,Cannabanoid,NA,387,797,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Reasons for Quitting Questionnaire,RQQ,Cannabanoid,26,Yes,Print-ready,https://www.drugtimes.org/marijuana-dependence/reasons-for-quitting-questionnaire.html,Exclude,Too many items,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
155,RUTGERS MARIJUANA PROBLEM INDEX,Rutgers Marijuana Problem Index,RMPI,Cannabanoid,NA,280,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Rutgers Marijuana Problem Index,RMPI,Cannabanoid,18,No, , ,Exclude,Not found,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
156,"CHEMICAL USE, ABUSE AND DEPENDENCE SCALE","Chemical Use, Abuse and Dependence Scale",CUAD,Diagnostic,NA,483,782,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
